"","mag","rupture_complete","JB_complete","fm_type_code","vs30","rotD50_pga","ev_latitude","ev_longitude","st_latitude","st_longitude"
"223",4.93,198.710444596755,198.5,"NF",535,0.231086,44.5418,6.6932,46.31724,6.9666
"224",4.93,170.844814939875,170.6,"NF",1329.214201,0.134451,44.5418,6.6932,46.06771,6.93499
"225",4.93,194.914547409474,194.7,"NF",365,0.217876,44.5418,6.6932,46.229012,7.361916
"226",4.93,195.71367042657,195.5,"NF",565,0.302863,44.5418,6.6932,46.2328,7.3832
"227",4.93,195.613779657365,195.4,"NF",1453,0.0902,44.5418,6.6932,46.2351,7.36423
"228",4.93,175.837853694362,175.6,"NF",567,0.3173495,44.5418,6.6932,46.09889,7.07477
"229",4.93,195.014437393338,194.8,"NF",289,0.598896,44.5418,6.6932,46.2863,6.9406
"230",4.93,89.9657756696401,89.5,"NF",1746,1.0021275,44.5418,6.6932,43.753,6.922
"231",4.93,116.260056734203,115.9,"NF",509.780263,7.563874,44.5418,6.6932,43.5479,7.1313
"232",4.93,108.386303525123,108,"NF",1062,2.3157605,44.5418,6.6932,45.2413,5.7439
"233",4.93,49.7473696977036,48.9,"NF",1918.530373,7.146845,44.5418,6.6932,44.184,7.05
"234",4.93,183.22824779995,183,"NF",1152.822424,0.0863965,44.5418,6.6932,46.1541,6.2202
"235",4.93,188.621713468625,188.4,"NF",850.270617,0.3711255,44.5418,6.6932,46.04,5.57
"236",4.93,31.1709927952255,29.8,"NF",1295.701438,4.179525,44.5418,6.6932,44.786,6.538
"237",4.93,61.681365028994,61,"NF",1239.494916,2.470675,44.5418,6.6932,44.108,6.225
"238",4.93,87.1807363575234,86.7,"NF",548.230537,0.862721,44.5418,6.6932,45.2057,6.11673
"239",4.93,74.5626635243136,74,"NF",923.366145,2.0822455,44.5418,6.6932,45.208,6.6831
"240",4.93,91.3586382989589,90.9,"NF",2104.247859,2.829289,44.5418,6.6932,45.0608,5.80464
"241",4.93,91.8561418297111,91.4,"NF",991.136545,1.56139,44.5418,6.6932,45.0648,5.802
"242",4.93,91.9556457855634,91.5,"NF",396.388473,0.905967,44.5418,6.6932,45.0695,5.8061
"243",4.93,142.493616670502,142.2,"NF",866.250142,0.269307,44.5418,6.6932,45.6093,5.69724
"244",4.93,128.026875271718,127.7,"NF",1611.797964,0.273579,44.5418,6.6932,45.69,6.62
"245",4.93,92.7517158431045,92.3,"NF",1249.364125,1.055672,44.5418,6.6932,43.986,7.553
"246",4.93,14.7699286335446,11.6,"NF",518,45.5223385,44.5418,6.6932,44.48,6.81
"247",4.93,188.821478629525,188.6,"NF",773.611996,0.223493,44.5418,6.6932,45.279,4.542
"248",4.93,81.713100490925,81.2,"NF",1197.88658,1.4696055,44.5418,6.6932,45.1482,7.2653
"249",4.93,141.595482949987,141.3,"NF",511.326993,1.654635,44.5418,6.6932,44.6826,8.4624
"250",4.93,29.8353949502935,28.4,"NF",1030,18.658805,44.5418,6.6932,44.379738,6.96837
"251",4.93,108.485947439473,108.1,"NF",599.587561,5.155065,44.5418,6.6932,44.3842,8.0332
"252",4.93,41.8118498973676,40.8,"NF",823.899606,5.8596385,44.5418,6.6932,44.70377,7.154374
"253",4.93,69.1074582938774,68.5,"NF",357.891329,4.78849,44.5418,6.6932,44.41658,7.53608
"254",4.93,53.2901566130181,52.5,"NF",503,10.6008995,44.5418,6.6932,44.315143,7.271007
"255",4.93,145.188156513677,144.9,"NF",574.708494,0.484182,44.5418,6.6932,45.82947,6.982964
"256",4.93,64.2537998241349,63.6,"NF",383,3.7096135,44.5418,6.6932,44.875845,7.344133
"257",4.93,60.9891858597899,60.3,"NF",932.766346,5.5606305,44.5418,6.6932,44.244865,7.3262
"258",4.93,65.7388834088319,65.1,"NF",387.334465,3.912418,44.5418,6.6932,44.650898,7.499066
"259",4.93,72.8757901627145,72.3,"NF",637,4.612542,44.5418,6.6932,45.142525,7.042957
"260",4.93,97.3303693193445,96.9,"NF",329.974507,1.229473,44.5418,6.6932,45.100891,7.633984
"261",4.93,110.279648130741,109.9,"NF",1160.619361,1.114135,44.5418,6.6932,43.7997,7.6017
"262",4.93,77.4415960052477,76.9,"NF",1013.023334,3.555357,44.5418,6.6932,44.0156,7.31897
"263",4.93,176.8365086509,176.6,"NF",544.732948,0.426205,44.5418,6.6932,43.2368,5.43778
"264",4.93,111.375898612941,111,"NF",605,1.6239895,44.5418,6.6932,43.8034,5.75907
"265",4.93,137.504293721469,137.2,"NF",2090,0.7328825,44.5418,6.6932,43.6265,5.54306
"266",4.93,105.995050789365,105.6,"NF",636.636769,3.2377445,44.5418,6.6932,43.7838,7.48942
"267",4.93,105.297677048642,104.9,"NF",578.873669,5.297819,44.5418,6.6932,43.675,7.212
"268",4.93,106.692458926768,106.3,"NF",1085.200012,0.755952,44.5418,6.6932,43.6895,7.295
"269",4.93,103.504593095379,103.1,"NF",385.140053,6.726643,44.5418,6.6932,43.7094,7.26276
